Monday, 1, 21, CS 410
Monday, 1, 22, ME 222
Monday, 1, SP16, CS 214
Monday, 1, Lab 24, ME 314
Monday, 2, 22, CS 348
Monday, 2, 115, EE 206
Monday, 2, 115, EE 209
Monday, 2, SP16, CS 214
Monday, 2, Lab 24, ME 314
Monday, 3, 22, CS 323
Monday, 3, 214, EE 633
Monday, 3, SP16, CS 214
Monday, 3, SPCC Lab (2nd floor), EE 226
Monday, 3, Lab 24, ME 314
Monday, 4, 22, ME 302
Monday, 4, 23, CS 209
Monday, 4, SPCC Lab (2nd floor), EE 226
Monday, 5, 21, ME 444
Monday, 5, 22, EE 620
Monday, 5, 23, ME 435
Monday, 5, 115, MA 428
Monday, 5, 119, CS 632
Monday, 5, 210, ME 408
Monday, 5, Auditorium, EE 204
Monday, 6, 210, ME 426
Monday, 6, 211, CS 304
Monday, 6, 215, ME 208
Monday, 6, Auditorium, PH 426
Monday, 6, SP16, ME 408
Monday, 7, 23, ME 604
Monday, 7, 115, HS 420
Monday, 7, Auditorium, PH 202
Monday, 7, SP16, ME 408
Monday, 8, 21, EE 223
Monday, 8, 21, EE 446
Monday, 8, 22, EE 208
Monday, 8, 22, EE 447
Monday, 8, 119, ME 204
Tuesday, 1, 21, HS 420
Tuesday, 1, 115, EE 209
Tuesday, 1, 115, EE 309
Tuesday, 1, 210, HS 406
Tuesday, 1, 211, ME 222
Tuesday, 1, Auditorium, HS 404
Tuesday, 2, 21, EE 226
Tuesday, 2, 22, CS 304
Tuesday, 2, 23, EE 626
Tuesday, 2, SP16, ME 647
Tuesday, 3, 23, EE 629
Tuesday, 3, 115, ME 408
Tuesday, 3, 117, ME 407
Tuesday, 3, 211, CS 426
Tuesday, 3, Auditorium, ME 208
Tuesday, 3, SP16, ME 647
Tuesday, 4, 21, PH 426
Tuesday, 4, 119, ME 435
Tuesday, 4, 210, ME 648
Tuesday, 4, 211, EE 208
Tuesday, 4, 215, ME 604
Tuesday, 4, Auditorium, CS 209
Tuesday, 5, 22, CS 348
Tuesday, 5, 117, EE 610
Tuesday, 5, 210, MA 206
Tuesday, 5, 210, MA 208
Tuesday, 5, Lab 205(KDOM)+Lab 205 (SOM)+Lab 24, ME 313
Tuesday, 6, 22, EE 608
Tuesday, 6, 119, EE 633
Tuesday, 6, SP16, CS 315
Tuesday, 6, 116, EE 214
Tuesday, 6, Lab 205(KDOM)+Lab 205 (SOM)+Lab 24, ME 313
Tuesday, 7, 211, EE 624
Tuesday, 7, SP16, CS 315
Tuesday, 7, 116, EE 214
Tuesday, 7, Lab 205(KDOM)+Lab 205 (SOM)+Lab 24, ME 313
Tuesday, 8, 22, EE 620
Tuesday, 8, SP16, CS 315
Tuesday, 8, 116, EE 214
Wednesday, 1, 22, EE 687
Wednesday, 1, 24, EE 611
Wednesday, 1, SP16, CS 316
Wednesday, 2, 21, EE 688
Wednesday, 2, 203, EE 624
Wednesday, 2, 215, PH 203
Wednesday, 2, 24, EE 611
Wednesday, 2, SP16, CS 316
Wednesday, 3, 23, EE 626
Wednesday, 3, 119, ME 648
Wednesday, 3, 215, ME 647
Wednesday, 3, 24, EE 611
Wednesday, 3, SP16, CS 316
Wednesday, 4, 21, MA 428
Wednesday, 4, 23, EE 204
Wednesday, 5, 119, ME 302
Wednesday, 5, 210, ME 204
Wednesday, 5, 211, CS 323
Wednesday, 5, 116, EE 314
Wednesday, 6, 23, CS 202
Wednesday, 6, 215, ME 407
Wednesday, 6, 116, EE 314
Wednesday, 7, 215, EE 226
Wednesday, 7, 116, EE 314
Wednesday, 8, 21, EE 309
Wednesday, 8, 21, MA 206
Wednesday, 8, 115, MA 208
Wednesday, 8, 117, ME 444
Wednesday, 8, 211, ME 445
Wednesday, 8, 215, CS 410
Wednesday, 8, 116, EE 314
Thursday, 1, 24, EE 212
Thursday, 1, SP16, CS 314
Thursday, 2, 214, EE 608
Thursday, 2, 215, EE 687
Thursday, 2, 24, EE 212
Thursday, 2, SP16, CS 314
Thursday, 3, 119, EE 624
Thursday, 3, 24, EE 212
Thursday, 3, SP16, CS 314
Thursday, 4, 22, CS 202
Thursday, 4, 23, EE 688
Thursday, 4, 203, PH 202
Thursday, 4, 207, EE 446
Thursday, 4, 207, EE 447
Thursday, 5, 22, EE 610
Thursday, 5, 210, CS 426
Thursday, 5, 27, PH 212
